Service Name*	Category	Description	Units	Primary Image Link	Additional Image Link
Chemical Peels	Skin Treatments	A safe medical solution applied to the face that gently removes the dull, damaged top layer of skin — clearing pigmentation, acne marks, tan, and uneven tone. Your skin heals back smoother, brighter, and fresher within a few days. Benefits: Fades dark spots, tan & pigmentation | Reduces acne marks & post-breakout redness | Evens out uneven skin tone | Gives a fresh, smooth, glowing finish | Stimulates new skin growth for long-term improvement. Sessions needed: 4–6 sessions, spaced 3–4 weeks apart.	4–6 Sessions	NA	NA
Carbon Laser Facial (Hollywood Facial)	Skin Treatments	Liquid carbon is applied to the face, goes deep into pores, and a laser removes it along with all the dirt and oil. Result: tighter pores, less oil, and an instant lit-from-within glow — all in one session. Benefits: Instantly brightens & evens skin tone | Tightens and unclogs open pores | Controls excess oiliness & shine | Reduces fine lines by boosting collagen | Zero downtime — no peeling or redness. Sessions needed: 1 session for visible glow; 4–6 sessions monthly for lasting results.	4–6 Sessions	NA	NA
Oxy Hydra Facial	Skin Treatments	A deeply cleansing and hydrating facial that floods your skin with moisture and nutrients in one step. Removes blackheads, plumps dry skin, and gives you fresh, glowing skin the same day. Benefits: Deep cleanses & removes blackheads/whiteheads | Instantly hydrates & plumps dry skin | Brightens dull and tired-looking skin | Gentle — suitable for all skin types including sensitive. Sessions needed: 1 session for instant glow; monthly sessions recommended for maintained skin health.	1–4 Sessions	NA	NA
Oxygeneo Facial	Skin Treatments	Naturally boosts your skin's oxygen levels from within — not through a machine — giving your face a fresh, natural glow without any chemicals or downtime. Benefits: Improves natural brightness & skin clarity | Boosts collagen for firmer, younger-looking skin | Deep hydration that lasts for days | Reduces puffiness & gives an even skin tone. Sessions needed: 1 session for an event glow; 4–6 monthly sessions for long-term radiance.	1–6 Sessions	NA	NA
Medi Facial	Skin Treatments	A doctor-designed facial built specifically for YOUR skin. After assessing your skin type and concern, the doctor customises every step — products, technique, and active ingredients — so you get exactly what your skin needs. Benefits: Fully customised to your unique skin type & concern | Uses clinically proven medical-grade ingredients | Targets specific concerns like acne, dullness, or ageing | Deeper and more effective than a regular parlour facial. Sessions needed: Monthly sessions recommended; results build over 3–4 sessions.	3–4 Sessions	NA	NA
Exosome Medi Facial	Skin Treatments	Advanced repair molecules (exosomes) are applied to signal your skin to heal, rebuild, and look younger. One of the most advanced treatments for early signs of ageing, dull skin, and skin that looks tired. Benefits: Repairs damaged skin at a cellular level | Reduces early fine lines & signs of ageing | Instant brightening & party-ready glow | Reduces skin inflammation & redness | Excellent for sensitive or stressed skin. Sessions needed: 1 session for instant glow; 3–5 sessions for anti-ageing and repair results.	1–5 Sessions	NA	NA
Microneedling	Skin Treatments	Ultra-fine needles create tiny, controlled micro-punctures on the skin (numbing cream applied first) that trigger your skin to produce more collagen — naturally filling in scars, large pores, and uneven texture over time. Benefits: Visibly reduces acne scars & pitting | Shrinks and tightens large pores | Smoothens rough or uneven skin texture | Boosts collagen for firmer, more youthful skin | Can be combined with PRP or serums for faster results. Sessions needed: 4–6 sessions, spaced 4 weeks apart; scars may need 6–8 sessions.	4–8 Sessions	NA	NA
Scar Reduction Treatment	Skin Treatments	Uses a combination of laser, microneedling, and PRP/GFC to break down scar tissue and help your skin rebuild with a smoother surface. Personalised treatment plan based on your scar type and depth. Benefits: Significantly fades deep acne scars & pitting | Smoothens uneven and textured skin surface | Personalised combination approach for your scars | Long-lasting improvement, not just a temporary cover-up. Sessions needed: 6–8 sessions depending on scar depth and skin type.	6–8 Sessions	NA	NA
Acne Treatment	Skin Treatments	We treat the root cause of acne — not just the pimple on the surface. You'll get a full personalised plan including in-clinic treatments, a proper skincare routine, and diet guidance to keep acne away for the long term. Benefits: Reduces active breakouts & controls new ones from forming | Addresses root cause — hormonal, dietary, or bacterial | Includes personalised skincare & diet guidance | Prevents future scarring from repeated breakouts. Sessions needed: 6–10 sessions for clear skin; ongoing monthly maintenance recommended.	6–10 Sessions	NA	NA
Anti-Aging Treatment	Skin Treatments	Slows down and reverses visible signs of ageing — fine lines, wrinkles, and sagging — using a combination of proven clinical methods tailored to your skin's needs. Benefits: Reduces fine lines & wrinkles around eyes, mouth, and forehead | Firms and tightens loose or sagging skin | Restores natural glow & youthful plumpness | Boosts collagen production for long-term skin health. Sessions needed: 4–8 sessions depending on the treatment and degree of concern.	4–8 Sessions	NA	NA
